endpoint,number,value,state,C
ames_mutagenicity,46,0.8493550616575124,1,0.002451403554136239
ames_mutagenicity,47,0.8533431897931069,1,0.0016945923818656576
ames_mutagenicity,48,0.7652302238202038,1,0.4910600641952336
ames_mutagenicity,49,0.8563998294053361,1,0.0010120456500930422
SR-p53,0,0.17359967949359242,1,2.6890788551555658
SR-p53,1,0.18175431020336713,1,0.18532293842414965
SR-p53,2,0.17562506159541974,1,0.9742378760234416
SR-p53,3,0.18251447916078037,1,0.1603873144570661
SR-p53,4,0.2302597572984864,1,0.003083293772194663
SR-p53,5,0.18251132752474405,1,0.15957290600559562
SR-p53,6,0.21904084777181712,1,0.0065543210288524015
SR-p53,7,0.1772202530909588,1,26.477492430623958
SR-p53,8,0.1813585085773582,1,0.19791101173983475
SR-p53,9,0.17429644458079513,1,1.736288529065214
SR-p53,10,0.22963008759167225,1,0.0032066435314612785
SR-p53,11,0.23733154116307406,1,0.0011315272949637123
SR-p53,12,0.23696005756417127,1,0.00105640543641902
SR-p53,13,0.20268278713526583,1,0.017640165545886766
SR-p53,14,0.23622027563647885,1,0.001170848241444973
SR-p53,15,0.19817789746886544,1,0.02439875548938625
SR-p53,16,0.23694223577008883,1,0.0011389629092179833
SR-p53,17,0.1966125564059176,1,0.025962648646821032
SR-p53,18,0.1791023415670482,1,11.42299791718422
SR-p53,19,0.21406980248306393,1,0.008776479165280807
SR-p53,20,0.18768820028942457,1,0.05397963988073061
SR-p53,21,0.23683515857746676,1,0.0010735902473929463
SR-p53,22,0.2220232246200933,1,0.002750722398524104
SR-p53,23,0.23564947653155405,1,0.0010042042242138986
SR-p53,24,0.21575608536390586,1,0.007752518709423028
SR-p53,25,0.22202142120602245,1,0.0026765875751910803
SR-p53,26,0.21924364737857993,1,0.006153006738693127
SR-p53,27,0.18748384295585319,1,0.0548852436340326
SR-p53,28,0.2297017722441485,1,0.0019323290998065163
SR-p53,29,0.17360438998348732,1,77.22573344301979
SR-p53,30,0.20783212675240928,1,0.012261951403801942
SR-p53,31,0.23817087673098886,1,0.00110069853731355
SR-p53,32,0.22993342831385177,1,0.001889869028214333
SR-p53,33,0.22272103660821901,1,0.00477064311928751
SR-p53,34,0.23601226351744425,1,0.001031487724285395
SR-p53,35,0.17696509059655677,1,0.41731202865722355
SR-p53,36,0.22366220475064266,1,0.004295884850680663
SR-p53,37,0.23016982169743352,1,0.0018640272815626734
SR-p53,38,0.17515340980938549,1,6.665819690510155
SR-p53,39,0.1884325989123897,1,0.05047659632267215
SR-p53,40,0.20526143281095954,1,0.01392150607842663
SR-p53,41,0.23172971796766026,1,0.0016370186614923672
SR-p53,42,0.22528413883184595,1,0.003829850446383726
SR-p53,43,0.23562502253483944,1,0.0010265797888232067
SR-p53,44,0.23285716166893103,1,0.0018053222401428048
SR-p53,45,0.22296317722169606,1,0.0025654465737319056
SR-p53,46,0.22214947917759487,1,0.004884565317673456
SR-p53,47,0.23348840562587828,1,0.0014015008420979564
SR-p53,48,0.17619009598370144,1,0.4910600641952336
SR-p53,49,0.21083727242895783,1,0.01006775357611585
SR-ATAD5,0,0.1685557099486743,1,2.6890788551555658
SR-ATAD5,1,0.1781024109554513,1,0.18532293842414965
SR-ATAD5,2,0.17355500887484,1,0.9742378760234416
SR-ATAD5,3,0.17974408460915953,1,0.1603873144570661
SR-ATAD5,4,0.1869160335758364,1,0.003083293772194663
SR-ATAD5,5,0.17974764329919443,1,0.15957290600559562
SR-ATAD5,6,0.18387761310769057,1,0.0065543210288524015
SR-ATAD5,7,0.1637856800444582,1,26.477492430623958
