endpoint,model,metric,runs,mean,std,ci95_lower,ci95_upper
SR-ARE,random_forest,f1,5,0.26112281959700695,0.037280138562718786,0.21483341369563114,0.30741222549838276
SR-ARE,random_forest,brier,5,0.15241431205996342,0.0037832141179063817,0.14771683129226285,0.157111792827664
SR-ARE,random_forest,ece,5,0.036432280301644505,0.009524273877489784,0.02460633231893285,0.048258228284356164
SR-ARE,random_forest,nll,5,0.4715087487708908,0.006338132250533577,0.463638918139549,0.47937857940223255
SR-ARE,random_forest,recall_at_precision_0.80,5,0.06877198985157906,0.05132191812385778,0.005047411798423468,0.13249656790473466
SR-ARE,random_forest,precision_at_recall_0.80,5,0.3681583605090461,0.01751554477760533,0.3464099391497676,0.3899067818683246
SR-ATAD5,logistic_regression,roc_auc,5,0.6747056031785674,0.04406178176915771,0.6199956750590933,0.7294155312980416
SR-ATAD5,logistic_regression,pr_auc,5,0.12574903041323093,0.04050021944455712,0.07546136600957222,0.17603669481688966
SR-ATAD5,logistic_regression,mcc,5,0.09354200549000538,0.08297724566159072,-0.009487853118101477,0.19657186409811223
SR-ATAD5,logistic_regression,balanced_accuracy,5,0.5539734398870869,0.04759205297062862,0.49488010111285075,0.6130667786613231
SR-ATAD5,logistic_regression,sensitivity,5,0.17463976288189695,0.09339216671764385,0.05867807175435456,0.2906014540094393
SR-ATAD5,logistic_regression,specificity,5,0.9333071168922767,0.004480319580602119,0.9277440653685957,0.9388701684159578
SR-ATAD5,logistic_regression,precision,5,0.12962321260828724,0.06946272730477433,0.04337384489690321,0.21587258031967127
SR-ATAD5,logistic_regression,f1,5,0.1482279546505736,0.07912531883874126,0.049980894902114326,0.24647501439903285
SR-ATAD5,logistic_regression,brier,5,0.0919011844626286,0.005936234883969082,0.08453037532232288,0.09927199360293432
SR-ATAD5,logistic_regression,ece,5,0.09544208888369769,0.003520985925438146,0.09107020742189897,0.09981397034549641
SR-ATAD5,logistic_regression,nll,5,0.5802634028249316,0.04726864542824871,0.5215716275528162,0.638955178097047
SR-ATAD5,logistic_regression,recall_at_precision_0.80,5,0.00392156862745098,0.00876889402941094,-0.006966451392932544,0.014809588647834505
SR-ATAD5,logistic_regression,precision_at_recall_0.80,5,0.080182399505381,0.013857687116064136,0.06297580831499199,0.09738899069577002
SR-ATAD5,random_forest,roc_auc,5,0.7314406522392524,0.0412252672969544,0.680252722020297,0.7826285824582078
